dataset,origin,id,doc,summ,model_name,cut,error_type,full_error,annotated_span,annotated_corrections,,,,,,,301,,,,,,,,,,,,,,,,,
CLIFF,xsum,34687720,"France's Dubuisson carded a 67 to tie with overnight leader Van Zyl of South Africa on 16 under par. McIlroy carded a third straight five under-par 67 to move to 15 under par with Thailand's Kiradech Aphibarnrat. The world number three's round included an eagle on the 12th as he bids to win his first title since May. ""The 67s I've shot this week have all been a little different and I feel like I've played within myself for all of them, "" said four-time major winner McIlroy of Northern Ireland. ""I feel there's a low round out there for me and hopefully it's tomorrow."" McIlroy was level par for the day after 10 holes, dropping his first shots of the week by three-putting the third and 10th, the latter mistake prompting the 26-year-old to throw his putter at his bag. But he hit back with a birdie on the par-five 11th and a towering four iron from 229 yards on the 13th set up an eagle from just four feet. The former world number one ruptured a ligament in his left ankle during a game of football with friends in July, ruling him out of several tournaments. But he returned in time to unsuccessfully defend his US PGA title at Whistling Straits in August and played in three of the FedEx Cup play-off events before starting the new PGA Tour season with a tie for 26th in the Frys.com Open in California. He is targeting a third Race to Dubai title in four years and leads England's Danny Willett by 271, 214 points with three events remaining after the Turkish Open. English pair Chris Wood (-13) and Richard Bland (-12) who were tied for second overnight are fifth and seventh respectively.","Rory McIlroy is three shots behind leader Jaco van Zyl after the second round of the Nedbank Golf Challenge in South Africa, as Thomas Dubuisson moved into a three - way tie for the lead with fellow Englishman Lee Westwood and world number one Marc Warren.",BART,val,extrinsic,['extrinsic-NP'],"['three', 'second', 'Nedbank Golf Challenge in South Africa', 'Thomas', 'Englishman Lee Westwood', 'Marc Warren']","['15 under par', 'round', 'Turkish Open', ""France's"", 'tie', 'Van Zyl of South Africa', '.']",,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,29347895,"He died at his home in Cambridge following an illness lasting several months, a statement on his website said. It added his funeral will be private, with a memorial service to be held at a later date. Hogwood worked with many leading orchestras around the world and was considered one of the most influential exponents of the early-music movement. The conductor founded the Academy of Ancient Music (AAM) in 1973 and directed the academy across six continents for some 30 years. The AAM also made more than 200 CDs, including the first-ever complete cycle of Mozart symphonies on period instruments. Among his most famous recordings include the 1980 version of Handel's Messiah with Emma Kirkby and Carolyn Watkinson, which was named by BBC Music Magazine as one of the top 20 recordings of all time. Hogwood studied keyboard at Cambridge University with Rafael Puyana and Mary Potts and later with Zuzana Ruzickova and Gustav Leonhardt. His first positions were as a keyboard player and musicologist with the Academy of Saint Martin-in-the-Fields under Sir Neville Marriner, and was a founder member of the Early Music Consort of London. He was the artistic director of the King's Lynn Festival and Boston's Handel and Haydn Society. He was also a tutor at Harvard University, honorary professor of music at the University of Cambridge and a professor-at-large at Cornell University in the US. ""Christopher had extraordinary generosity of spirit,"" Christopher Purvis, honorary president of the AAM, said. ""He was a great ambassador for historically informed music, the movement of which he was a founder. And he was happy to see the orchestra he founded develop and grow after he stepped down as director."" The AAM's music director Richard Egarr added: ""I am deeply saddened by the news of Christopher's passing. Christopher provided a fantastic legacy for me to build upon when I joined in 2006 and I know he will be greatly missed by all who knew and worked with him."" Speaking to Sean Rafferty on Radio 3's In Tune, soprano Dame Emma Kirkby said: ""Some of the best players that now lead orchestras all over the world, they started with him. ""Chris was a natural academic, an incredibly clever man. He had an amazing capacity to absorb information of all kinds and a really sure sense of how things would be if he really tried to reproduce conditions... a very genial person."" David Thomas from Trinity Laban Conservatoire of Music and Dance, London added: ""He always said I want the music to speak for itself because it can, it's good enough, it willâ€¦ a very pleasant and lovely man.""","British conductor and musicologist Christopher Hogwood, the founder of the Academy of Ancient Music, has died at the age of 83.",BART,val,extrinsic,['extrinsic-NP'],['83'],['following an illness lasting several months'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,22299596,"Gareth Colfer-Williams, 25, died last week at his home in Swansea, the city at the centre of an epidemic of the disease which has reached 942 cases. But the examination was unable to establish whether measles was the main cause of his death. An inquest will be opened and adjourned on Tuesday to allow further tests. Since the outbreak began in November, 83 people have needed hospital treatment for the illness. Mr Colfer-Williams' mother, Angela Colfer said her son had recently been treated at Swansea's Morriston Hospital for asthma. A few days after he was discharged he became unwell and developed a rash. Mrs Colfer said her son went to see an out-of-hours GP on 17 April with a rash ""from head to foot"" but not on his arms. The following morning, Mr Colfer-Williams was found dead at his flat. Public Health Wales said on Friday that laboratory tests confirmed a diagnosis of measles but further tests were needed to determine the cause of death. The family said they had no idea how Mr Colfer-Williams got measles as no close family member has it, including his three-year-old daughter who has been vaccinated.",An inquest into the death of a man who died of measles has been opened and adjourned after a post-mortem examination failed to establish how he got the illness.,BART,val,intrinsic,['intrinsic-predicate'],['how he got the illness'],['whether measles was the main cause of his death'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,34593064,"Vincent Hudson has been charged with the historical offence on a boy under the age of 16, Cumbria Police said. A spokesman for the force said the attack was reported to have taken place in 2001. Mr Hudson, 54, of Loweswater Avenue, Whitehaven, is due to appear before North Cumbria Magistrates' Court later, the spokesman added.",A man has been charged with raping a boy in Cumbria.,BART,test,extrinsic,['extrinsic-predicate'],['raping'],['historical offence on a boy'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,39263182,"Neil Aspin's promotion-chasing hosts have not lost in nine National League matches while Adam Lockwood's side are unbeaten in five. Guiseley went ahead on 15 minutes against the run of play when a throw-in found James Hurst who squared to Jake Lawlor to stroke into an empty net. Gateshead defender Liam Hogan superbly blocked Jordan Preston's effort and Guiseley keeper Jonny Maxted then saved well from Wesley York's shot just before the break. The hosts, who started the second half well, levelled on 62 minutes when a slip by half-time substitute Derek Asamoah let York curl sweetly into the top-right corner from the edge of the box. Match report supplied by the Press Association. Match ends, Gateshead 1, Guiseley 1. Second Half ends, Gateshead 1, Guiseley 1. Substitution, Guiseley. Michael Rankine replaces Jordan Preston. Substitution, Gateshead. Luke Hannant replaces Gus Mafuta. Gus Mafuta (Gateshead) is shown the yellow card. Substitution, Guiseley. Adam Boyes replaces Jake Cassidy. Goal!  Gateshead 1, Guiseley 1. Wes York (Gateshead). Substitution, Guiseley. Derek Asamoah replaces Kevan Hurst. Second Half begins Gateshead 0, Guiseley 1. First Half ends, Gateshead 0, Guiseley 1. Simon Walton (Guiseley) is shown the yellow card. Goal!  Gateshead 0, Guiseley 1. Jake Lawlor (Guiseley). First Half begins. Lineups are announced and players are warming up.",Gateshead and Guiseley maintained their unbeaten starts to the season with a 1 - 1 draw at the International Stadium.,BART,val,intrinsic,['intrinsic-NP'],['starts to the season'],"[""Neil Aspin's promotion-chasing hosts have not lost in nine National League matches while Adam Lockwood's side are unbeaten in five""]",,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,38034979,"Grant Ward's scuffed shot put Town ahead before Luke Varney rolled the ball into an empty net after QPR keeper Alex Smithies miscued a clearance. Cole Skuse's long-range shot fell to Tom Lawrence, who capped the scoring with a calm finish into the corner. Rangers offered little in attack, but sub Sandro headed Tjarron Cherry's corner against the post late on. Ipswich had failed to score in seven of their previous 10 Championship games, but could have had plenty more, with Christophe Berra heading wide from six yards, and Skuse firing a volley straight at Smithies. The Rs have won only once in their last six matches away from Loftus Road, and rarely looked like improving that record in Ian Holloway's second game in charge. The win lifted Mick McCarthy's Ipswich up four places to 14th and above Rangers, who slipped to 15th. Ipswich manager Mick McCarthy: ""The irony was that poor old Alex Smithies cost them the second goal which set us up to win as comprehensively as we did. He then kept it from being an embarrassing scoreline, but I'll take three. ""With Luke Varney and also Jonathan Douglas, I knew what I was going to get - even though I bet some people weren't thinking that when they saw the teamsheet. Luke epitomised everything what I want in this team. ""We have not been bristling with confidence. I have had a couple of rotten weekends after Rotherham and Nottingham Forest. But hopefully Ipswich can be a happier place than it has been."" QPR boss Ian Holloway:  ""I am sure everyone will say everything hinged on the second goal, but it shouldn't have. ""The goal was a calamity and after that we were awful and it could have been four or five. ""Everyone will blame my keeper but I won't as my defenders should have made an angle for him. Even with my legs, I would have ran back and tried to help him. ""My players need to be mentally tougher as a group. I am disappointed with how we finished today. We have got to try and be a bigger, braver and more solid team."" Match ends, Ipswich Town 3, Queens Park Rangers 0. Second Half ends, Ipswich Town 3, Queens Park Rangers 0. Attempt saved. Yeni N'Gbakoto (Queens Park Rangers) right footed shot from outside the box is saved in the bottom left corner. Yeni N'Gbakoto (Queens Park Rangers) wins a free kick in the attacking half. Foul by Luke Chambers (Ipswich Town). Attempt saved. Freddie Sears (Ipswich Town) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Jonathan Douglas. Offside, Ipswich Town. Leon Best tries a through ball, but Jonathan Douglas is caught offside. Attempt saved. David McGoldrick (Ipswich Town) right footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Leon Best. Attempt saved. Freddie Sears (Ipswich Town) right footed shot from outside the box is saved in the centre of the goal. Assisted by Cole Skuse. Karl Henry (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Offside, Queens Park Rangers. Alex Smithies tries a through ball, but Idrissa Sylla is caught offside. Sandro (Queens Park Rangers) wins a free kick in the defensive half. Foul by David McGoldrick (Ipswich Town). Attempt blocked. Cole Skuse (Ipswich Town) right footed shot from outside the box is blocked. Corner,  Ipswich Town. Conceded by Grant Hall. Karl Henry (Queens Park Rangers) wins a free kick in the attacking half. Foul by Cole Skuse (Ipswich Town). Attempt missed. Jonathan Douglas (Ipswich Town) header from the centre of the box is close, but misses to the left. Assisted by Freddie Sears with a cross following a corner. Corner,  Ipswich Town. Conceded by Alex Smithies. Attempt saved. Grant Ward (Ipswich Town) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Freddie Sears with a through ball. Alex Smithies (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Corner,  Ipswich Town. Conceded by Alex Smithies. Attempt saved. David McGoldrick (Ipswich Town) right footed shot from the right side of the box is saved in the bottom left corner. Assisted by Grant Ward. Attempt missed. David McGoldrick (Ipswich Town) right footed shot from more than 35 yards misses to the left. Assisted by Cole Skuse following a set piece situation. Substitution, Ipswich Town. Leon Best replaces Tom Lawrence. Foul by Nedum Onuoha (Queens Park Rangers). Grant Ward (Ipswich Town) wins a free kick in the attacking half. Corner,  Queens Park Rangers. Conceded by Grant Ward. Corner,  Queens Park Rangers. Conceded by Adam Webster. Sandro (Queens Park Rangers) wins a free kick in the defensive half. Foul by Jonathan Douglas (Ipswich Town). Sandro (Queens Park Rangers) hits the right post with a header from the right side of the six yard box. Assisted by Tjaronn Chery with a cross following a corner. Corner,  Queens Park Rangers. Conceded by Christophe Berra. Attempt missed. David McGoldrick (Ipswich Town) right footed shot from outside the box misses to the right. Assisted by Tom Lawrence. Foul by Sandro (Queens Park Rangers). Jonathan Douglas (Ipswich Town) wins a free kick in the defensive half. Foul by Karl Henry (Queens Park Rangers). Cole Skuse (Ipswich Town) wins a free kick on the left wing.",Ipswich Town ended a run of three straight Championship defeats with a comfortable victory over QPR at Portman Road.,BART,test,extrinsic,['extrinsic-NP'],['three straight Championship defeats'],['failed to score in seven of their previous 10 Championship games'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,34743526,"Investing Solutions received those benefit payments over the past two years by finding properties for single homeless men. The charity, Fresh Start Housing, finds clients from London homeless charities. Neither the charity nor the company act illegally, but a homeless group says the relationship is ""a new low"". Investing Solutions said ""the bulk"" of their rents get passed to private landlords, while Fresh Start said they referred clients to both Investing Solutions and private landlords. The letting agent makes money by putting several unrelated people in one house and charging housing benefit for each person, rather than the property. Therefore, the total benefit payout is higher than the rent fee passed on to the property's landlord. Both Investing Solutions and Fresh Start are based in the same building, a storage unit in south London. Records held at Companies House show Investing Solutions was set up in 2002 by Samir Patel, who then set up Fresh Start Housing in 2010. The documents say the charity would help ""the needs of current and ex-offenders with a wider goal to reduce poverty, sickness and distress"". Operating across seven London boroughs, Investing Solutions is one of the largest recipients of housing benefit in the UK, making the venture hugely profitable. In one property we visited, Investing Solutions was claiming £2,114 per month in housing benefit for two tenants. The owner of the house was getting £1,150 per month, giving the agency an annual gross profit of £11,568 on the one property. The company focuses on providing housing to single homeless men over the age of 35, saying that is because this is the group facing ""the greatest challenges in accessing accommodation"". But housing benefit legislation allows people aged 35 and over to be housed in private rather than shared accommodation. In the boroughs in which Investing Solutions operates, that means they can charge up to £260 per week for each private room. One of the tenants, Nigel McCann, was living in a homeless shelter when he was referred to Fresh Start Housing. They passed him to Investing Solutions who housed him in several properties that he describes as wholly unsuitable - various problems included lack of heating and hot water, rats and damp. He says he had to remove 28 bags of rubbish from one house to begin to make it habitable. Mr McCann said he became aware of how profitable Investing Solutions was after he did some work for them in 2014. ""It's all about the money, it's not about the people,"" he added. ""I thought inspections would be made."" Nearly half the money that Investing Solutions has received over the past two years has been paid by Wandsworth Council in south London, which has paid the lettings agency more than £2.1m. The council said it has a ""dedicated Private Sector Housing Team who provide specialist advice to both landlords and tenants to ensure the private rented sector in the borough is safe, secure and affordable"". Matt Downie, of homeless charity Crisis, said: ""We've heard many examples of poor practice amongst letting agents as well as good practice. But this idea of having a charity tacked on to poor practice is a new low."" Samir Patel said in a statement that Fresh Start Housing was an independent charity with its own board of trustees. He also said the majority of the properties used were sourced from private sector landlords ""who, to make exceedingly clear, own the properties. The simple point being, the bulk of the rents gets passed to our private sector landlord clients"". He also said his company was ""genuinely concerned by some of your allegations concerning the state of one of our landlord client's property"". Fresh Start Housing told us it had housed 788 homeless people since it was founded and 222 homeless people in the last 12 months, including re-housed tenants. It also said it did not have ""authority from the relevant parties"" to reveal how many were housed with Investing Solutions. A spokeswoman for the Department for Communities and Local Government said local authorities were responsible for ""rigorously safe-guarding taxpayers' money, with dedicated investigations and inspection teams for private sector housing"".","Lettings agency Investing Solutions has been paid more than £ 2.1 m in housing benefit by a London charity, the BBC has learned.",BART,test,intrinsic,['intrinsic-NP'],['London charity'],['paid by Wandsworth Council '],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,37207414,"London 2012 Olympian Andrew Lawrence scored 14 points while NBA player Ben Gordon added 13. Coach Joe Prunty's team led for most of the first three quarters before being overhauled by their guests in the last 10 minutes of a well-contested game. GB now begin their Eurobasket qualifying campaign with a game in Hungary in midweek. ""The key to the qualifiers will be completing on every play. We have to make sure that we're going as hard as we can on both ends of the floor,"" Prunty told BBC Sport. ""I think at times tonight we lost a little of our fire."" Prunty turned to his strongest line-up in the final warm-up match before he cuts the roster for the six-game qualifying programme. GB led 35-24 on Lawrence's three in the second quarter but the Dutch took the lead early in the third. Gordon then hit three threes in a row - his first points of the game - to restore GB's advantage. Netherlands, who were led by 18 points from Worthy De Jong, scored the first 10 points of the fourth quarter to lead 71-60 and held on to win despite the hosts' comeback in the last six minutes. Prunty was pleased with the contribution of Gordon, a player who has joined the team despite missing out on the place available to him for London 2012. He said: ""You're always trying to find to your rhythm as a player and with one another. I thought he [Gordon] had a good showing tonight, he certainly had a very good stretch in the third quarter.""",Great Britain's men's Eurobasket qualifying campaign got off to a losing start with a 76 - 71 defeat by the Netherlands in their final warm - up game in Belfast.,BART,val,extrinsic,['extrinsic-NP'],"['76 - 71', 'Belfast']","['71-60', 'GB']",,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,35051818,"Sylvia Blackburn, 72, suffered serious head injuries outside Bedford Road Lower School, Kempston, last December. Brian Wright, 55, of Kempston, told Luton Crown Court he had been blinded by the setting sun. He accepted he had struck Mrs Blackburn but denies causing serious injury by dangerous driving. Mrs Blackburn is now being treated in residential care. Judge Michael Kay QC paused the case for five minutes so Mr Wright could compose himself after he told the court how he had turned his victim's ""world upside down"". Mr Wright said: ""I understand Sylvia was a much-loved lollipop lady, who was loved by the children. ""I am truly sorry for what I have done to her and her family."" Mr Wright's VW Golf failed to stop for a red light, the jury heard. The married mother-of-three, a lollipop lady for 20 years, had been on duty in Bedford Road as pupils left school. When the traffic lights turned red, Mrs Blackburn, who was wearing appropriate clothing, stepped out to escort a woman and her six-year-old daughter across the road. Prosecutor Sally Mealing-McLeod said traffic in the other direction had stopped, but the defendant did not, and hit her. Mr Wright, of The Dell, said he could not remember if the traffic lights were red or green. ""I was totally blinded by the sun,"" he said. ""I just heard a bump. I was in total shock. ""Since that day I have thought of nothing else other than Sylvia Blackburn and her family and the position I have put them in."" The court heard the sun was 10 minutes from setting and could have been shining into Mr Wright's eyes. The trial continues.","A lollipop lady was seriously injured when she was hit by a hit - and - run driver who failed to stop at a red light, a court has heard.",BART,val,extrinsic,['extrinsic-predicate'],['hit - and - run'],['failed to stop for a red light'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,39017131,"The victim was fatally injured outside a property on Daniel Hill Terrace, Upperthorpe, close to the city centre. People living in the area said the man was either in, or close to, a black Mercedes car he had been driving when he was shot. Officers, called to the scene at about 13:35 GMT, found the man with a gunshot wound to his chest. Armed police sealed off the area. The victim was taken to Northern General hospital but died from his injuries. Local residents said the man was a member of a family who live close to the scene of the shooting. They said relatives had been gathering for a family celebration when the attack occurred. Many came out of the house to try to help him after hearing the shot, neighbours said. There have been a number of shootings in Sheffield in recent weeks, although all the previous incidents have been in the north of the city and not close to the Upperthorpe area. On Monday, a 25-year-old man was seriously injured when he was shot in the street in the Shiregreen area. Earlier this month, an elderly couple were left shocked when shots were fired through their living room window in the Southey Green area - an incident police believe was a case of mistaken identity. In January shots were fired at houses in two separate incidents in the same street in High Green.",A 25 - year - old man has died after being shot in the chest in Sheffield.,BART,test,intrinsic,['intrinsic-NP'],['25 - year'],['man'],,,,,,,,,,,,,,,,,,,,,,,,
